概率分布代号,期望(%),标准差(%),初始点数,模拟阶段数
0,0.02,1,1000,100
阶段数,增长率(%),点数
0,,1000.000000
1,-0.959842,990.401580
2,-0.556312,984.891861
3,-0.824199,976.774388
4,-0.098798,975.809353
5,-0.034801,975.469758
6,-0.212266,973.399167
7,-0.430071,969.212863
8,1.560920,984.341498
9,1.564919,999.745650
10,-0.000473,999.740926
11,0.422677,1003.966600
12,-1.032515,993.600499
13,-0.058322,993.021007
14,1.462729,1007.546215
15,-0.198654,1005.544687
16,-0.897827,996.516638
17,0.309613,999.601985
18,0.669622,1006.295537
19,-1.457676,991.627006
20,-0.274437,988.905617
21,-0.596699,983.004823
22,-1.540402,967.862600
23,0.200720,969.805292
24,-0.081553,969.014389
25,-1.720936,952.338268
26,-0.650882,946.139667
27,0.464896,950.538228
28,-3.162943,920.473246
29,-0.725775,913.792677
30,-1.811254,897.241571
31,1.142966,907.496733
32,0.976773,916.360912
33,1.792468,932.786393
34,0.459140,937.069183
35,-0.159749,935.572229
36,-0.022208,935.364456
37,0.466260,939.725684
38,0.778485,947.041309
39,0.269503,949.593616
40,0.067339,950.233064
41,0.318283,953.257492
42,0.224257,955.395236
43,0.605268,961.177939
44,-1.567349,946.112928
45,-1.621953,930.767422
46,-0.322151,927.768942
47,-1.415635,914.635121
48,0.941931,923.250353
49,0.844190,931.044337
50,-0.515537,926.244462
51,-0.003445,926.212554
52,0.665250,932.374187
53,1.181384,943.389110
54,-1.052576,933.459221
55,-0.074145,932.767105
56,0.289741,935.469709
57,-0.332481,932.359450
58,-0.471242,927.965782
59,-0.303363,925.150677
60,-0.071013,924.493700
61,-0.327541,921.465607
62,-0.406004,917.724421
63,1.276471,929.438905
64,0.830562,937.158473
65,-0.893782,928.782323
66,0.225153,930.873505
67,0.245089,933.154970
68,1.117702,943.584863
69,0.085410,944.390780
70,-0.292606,941.627439
71,-0.030932,941.336179
72,-0.527625,936.369451
73,0.742345,943.320542
74,-0.588634,937.767837
75,0.152697,939.199783
76,0.030223,939.483632
77,0.831640,947.296758
78,-0.346671,944.012750
79,1.948008,962.402190
80,0.550169,967.697031
81,1.057557,977.930982
82,-1.030359,967.854787
83,-1.406374,954.243130
84,0.649064,960.436781
85,0.903482,969.114151
86,0.046262,969.562478
87,0.565877,975.049010
88,0.939138,984.206069
89,0.389899,988.043475
90,1.442038,1002.291442
91,-1.782315,984.427448
92,1.483663,999.033034
93,1.116073,1010.182973
94,0.231831,1012.524891
95,1.503248,1027.745649
96,-0.821609,1019.301599
97,-0.247473,1016.779107
98,0.762034,1024.527308
99,1.279913,1037.640371
100,0.541652,1043.260774
